#name	canonicalname	id
Apocrine Carcinoma In Situ of Breast	Apocrine_Breast_Carcinoma_in_situ	C5140
Apocrine Carcinoma In Situ of the Breast	Apocrine_Breast_Carcinoma_in_situ	C5140
Breast Apocrine Carcinoma In Situ	Apocrine_Breast_Carcinoma_in_situ	C5140
Apocrine_Carcinoma	Apocrine_Carcinoma	C4169
Apocrine Gland Carcinoma	Apocrine_Carcinoma	C4169
Apocrine Carcinoma	Apocrine_Carcinoma	C4169
Carcinoma of Apocrine Gland	Apocrine_Carcinoma	C4169
Apocrine_Ductal_Breast_Carcinoma	Apocrine_Ductal_Breast_Carcinoma	C5141
Apocrine Breast Carcinoma	Apocrine_Ductal_Breast_Carcinoma	C5141
Apocrine Carcinoma of Breast	Apocrine_Ductal_Breast_Carcinoma	C5141
Apocrine Carcinoma of the Breast	Apocrine_Ductal_Breast_Carcinoma	C5141
Breast Apocrine Carcinoma	Apocrine_Ductal_Breast_Carcinoma	C5141
Apocrine_Hydrocystoma	Apocrine_Hydrocystoma	C43342
Apocrine Hidrocystoma	Apocrine_Hydrocystoma	C43342
Apocrine Hydrocystoma	Apocrine_Hydrocystoma	C43342
Apocrine_Neoplasm	Apocrine_Neoplasm	C6798
Apocrine Neoplasm	Apocrine_Neoplasm	C6798
Apocrine Neoplasm of Skin	Apocrine_Neoplasm	C6798
Apocrine Neoplasm of the Skin	Apocrine_Neoplasm	C6798
Apocrine Skin Neoplasm	Apocrine_Neoplasm	C6798
Apocrine Skin Tumor	Apocrine_Neoplasm	C6798
Apocrine Tumor	Apocrine_Neoplasm	C6798
Apocrine Tumor of Skin	Apocrine_Neoplasm	C6798
Apocrine Tumor of the Skin	Apocrine_Neoplasm	C6798
Apocrine_Sweat_Gland_Hamartoma	Apocrine_Sweat_Gland_Hamartoma	C5563
Apocrine Sweat Gland Hamartoma	Apocrine_Sweat_Gland_Hamartoma	C5563
Hamartoma of Apocrine Sweat Gland	Apocrine_Sweat_Gland_Hamartoma	C5563
Hamartoma of the Apocrine Sweat Gland	Apocrine_Sweat_Gland_Hamartoma	C5563
Appendiceal_L-Cell_Glucagon-Like_Peptide_Producing_Neoplasm	Appendiceal_L-Cell_Glucagon-Like_Peptide_Producing_Neoplasm	C27445
Appendix L-Cell Glucagon-Like Peptide-Producing Neuroendocrine Tumor	Appendiceal_L-Cell_Glucagon-Like_Peptide_Producing_Neoplasm	C27445
Appendiceal L-Cell Glucagon-Like Peptide-Producing NET	Appendiceal_L-Cell_Glucagon-Like_Peptide_Producing_Neoplasm	C27445
Appendiceal L-Cell Glucagon-Like Peptide-Producing Neuroendocrine Tumor	Appendiceal_L-Cell_Glucagon-Like_Peptide_Producing_Neoplasm	C27445
Appendix L-Cell Glucagon-Like Peptide-Producing NET	Appendiceal_L-Cell_Glucagon-Like_Peptide_Producing_Neoplasm	C27445
Appendix L-Cell NET	Appendiceal_L-Cell_Glucagon-Like_Peptide_Producing_Neoplasm	C27445
Appendix_Adenocarcinoma	Appendix_Adenocarcinoma	C7718
Appendix Adenocarcinoma	Appendix_Adenocarcinoma	C7718
Adenocarcinoma of Appendix	Appendix_Adenocarcinoma	C7718
Adenocarcinoma of the Appendix	Appendix_Adenocarcinoma	C7718
Appendiceal Adenocarcinoma	Appendix_Adenocarcinoma	C7718
Appendix_Adenoma	Appendix_Adenoma	C43550
Appendix Adenoma	Appendix_Adenoma	C43550
Appendix_Carcinoid_Tumor	Appendix_Carcinoid_Tumor	C4138
Appendix Neuroendocrine Tumor G1	Appendix_Carcinoid_Tumor	C4138
Appendiceal Carcinoid Tumor	Appendix_Carcinoid_Tumor	C4138
Appendix Carcinoid Tumor	Appendix_Carcinoid_Tumor	C4138
Appendix NET G1	Appendix_Carcinoid_Tumor	C4138
Appendix NET G1 (Carcinoid)	Appendix_Carcinoid_Tumor	C4138
Appendix Neuroendocrine Tumor G1 (Carcinoid)	Appendix_Carcinoid_Tumor	C4138
Carcinoid Tumor of Appendix	Appendix_Carcinoid_Tumor	C4138
Carcinoid Tumor of the Appendix	Appendix_Carcinoid_Tumor	C4138
Appendix_Carcinoma	Appendix_Carcinoma	C9330
Appendix Carcinoma	Appendix_Carcinoma	C9330
Appendix Cancer	Appendix_Carcinoma	C9330
Carcinoma of Appendix	Appendix_Carcinoma	C9330
Carcinoma of the Appendix	Appendix_Carcinoma	C9330
Appendix_Enterochromaffin_Cell_Serotonin-Producing_Neuroendocrine_Tumor	Appendix_Enterochromaffin_Cell_Serotonin-Producing_Neuroendocrine_Tumor	C96424
Appendix Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor	Appendix_Enterochromaffin_Cell_Serotonin-Producing_Neuroendocrine_Tumor	C96424
Appendix EC Cell Serotonin-Producing Carcinoid Tumor	Appendix_Enterochromaffin_Cell_Serotonin-Producing_Neuroendocrine_Tumor	C96424
Appendix EC Cell Serotonin-Producing NET	Appendix_Enterochromaffin_Cell_Serotonin-Producing_Neuroendocrine_Tumor	C96424
Appendix EC-Cell Serotonin-Producing Neuroendocrine Tumor	Appendix_Enterochromaffin_Cell_Serotonin-Producing_Neuroendocrine_Tumor	C96424
Appendix Enterochromaffin Cell Serotonin-Producing Carcinoid Tumor	Appendix_Enterochromaffin_Cell_Serotonin-Producing_Neuroendocrine_Tumor	C96424
Appendix_High_Grade_Intraepithelial_Neoplasia	Appendix_High_Grade_Intraepithelial_Neoplasia	C96420
Appendix High Grade Intraepithelial Neoplasia	Appendix_High_Grade_Intraepithelial_Neoplasia	C96420
Appendiceal High Grade Dysplasia	Appendix_High_Grade_Intraepithelial_Neoplasia	C96420
Appendiceal High Grade Intraepithelial Neoplasia	Appendix_High_Grade_Intraepithelial_Neoplasia	C96420
Appendix High Grade Dysplasia	Appendix_High_Grade_Intraepithelial_Neoplasia	C96420
Appendix_Hyperplastic_Polyp	Appendix_Hyperplastic_Polyp	C96416
Appendix Hyperplastic Polyp	Appendix_Hyperplastic_Polyp	C96416
Appendix Metaplastic Polyp	Appendix_Hyperplastic_Polyp	C96416
Appendix_Intraepithelial_Neoplasia	Appendix_Intraepithelial_Neoplasia	C96418
Appendix Intraepithelial Neoplasia	Appendix_Intraepithelial_Neoplasia	C96418
Appendiceal Dysplasia	Appendix_Intraepithelial_Neoplasia	C96418
Appendix Dysplasia	Appendix_Intraepithelial_Neoplasia	C96418
Appendix_Kaposi_Sarcoma	Appendix_Kaposi_Sarcoma	C96434
Appendix Kaposi Sarcoma	Appendix_Kaposi_Sarcoma	C96434
Appendix_Large_Cell_Neuroendocrine_Carcinoma	Appendix_Large_Cell_Neuroendocrine_Carcinoma	C96426
Appendix Large Cell Neuroendocrine Carcinoma	Appendix_Large_Cell_Neuroendocrine_Carcinoma	C96426
Appendix_Leiomyoma	Appendix_Leiomyoma	C5514
Appendix Leiomyoma	Appendix_Leiomyoma	C5514
Appendiceal Leiomyoma	Appendix_Leiomyoma	C5514
Leiomyoma of Appendix	Appendix_Leiomyoma	C5514
Leiomyoma of the Appendix	Appendix_Leiomyoma	C5514
Appendix_Leiomyosarcoma	Appendix_Leiomyosarcoma	C96435
Appendix Leiomyosarcoma	Appendix_Leiomyosarcoma	C96435
Appendix_Lipoma	Appendix_Lipoma	C43576
Appendix Lipoma	Appendix_Lipoma	C43576
Appendix_Low_Grade_Intraepithelial_Neoplasia	Appendix_Low_Grade_Intraepithelial_Neoplasia	C96419
Appendix Low Grade Intraepithelial Neoplasia	Appendix_Low_Grade_Intraepithelial_Neoplasia	C96419
Appendiceal Low Grade Dysplasia	Appendix_Low_Grade_Intraepithelial_Neoplasia	C96419
Appendiceal Low Grade Intraepithelial Neoplasia	Appendix_Low_Grade_Intraepithelial_Neoplasia	C96419
Appendix Low Grade Dysplasia	Appendix_Low_Grade_Intraepithelial_Neoplasia	C96419
Appendix_Lymphoma	Appendix_Lymphoma	C5513
Appendix Lymphoma	Appendix_Lymphoma	C5513
Appendiceal Lymphoma	Appendix_Lymphoma	C5513
Lymphoma of Appendix	Appendix_Lymphoma	C5513
Lymphoma of the Appendix	Appendix_Lymphoma	C5513
Primary Appendix Lymphoma	Appendix_Lymphoma	C5513
Appendix_Mixed_Endocrine-Exocrine_Neoplasm	Appendix_Mixed_Endocrine-Exocrine_Neoplasm	C43564
Appendix Mixed Adenoneuroendocrine Carcinoma	Appendix_Mixed_Endocrine-Exocrine_Neoplasm	C43564
Appendix MANEC	Appendix_Mixed_Endocrine-Exocrine_Neoplasm	C43564
Appendix Mixed Endocrine-Exocrine Neoplasm	Appendix_Mixed_Endocrine-Exocrine_Neoplasm	C43564
Appendix_Mucinous_Adenocarcinoma	Appendix_Mucinous_Adenocarcinoma	C43558
Appendix Mucinous Adenocarcinoma	Appendix_Mucinous_Adenocarcinoma	C43558
Appendix_Mucinous_Cystadenocarcinoma	Appendix_Mucinous_Cystadenocarcinoma	C5511
Appendix Mucinous Cystadenocarcinoma	Appendix_Mucinous_Cystadenocarcinoma	C5511
Appendiceal Colloid Cystadenocarcinoma	Appendix_Mucinous_Cystadenocarcinoma	C5511
Appendiceal Colloidal Cystadenocarcinoma	Appendix_Mucinous_Cystadenocarcinoma	C5511
Appendiceal Mucinous Cystadenocarcinoma	Appendix_Mucinous_Cystadenocarcinoma	C5511
Appendix Colloid Cystadenocarcinoma	Appendix_Mucinous_Cystadenocarcinoma	C5511
Appendix Colloidal Cystadenocarcinoma	Appendix_Mucinous_Cystadenocarcinoma	C5511
Colloid Cystadenocarcinoma of Appendix	Appendix_Mucinous_Cystadenocarcinoma	C5511
Colloid Cystadenocarcinoma of the Appendix	Appendix_Mucinous_Cystadenocarcinoma	C5511
Colloidal Cystadenocarcinoma of Appendix	Appendix_Mucinous_Cystadenocarcinoma	C5511
Colloidal Cystadenocarcinoma of the Appendix	Appendix_Mucinous_Cystadenocarcinoma	C5511
Mucinous Cystadenocarcinoma of Appendix	Appendix_Mucinous_Cystadenocarcinoma	C5511
Mucinous Cystadenocarcinoma of the Appendix	Appendix_Mucinous_Cystadenocarcinoma	C5511
Appendix_Neoplasm	Appendix_Neoplasm	C4434
Appendix Neoplasm	Appendix_Neoplasm	C4434
Appendix Tumor	Appendix_Neoplasm	C4434
Neoplasm of Appendix	Appendix_Neoplasm	C4434
Neoplasm of the Appendix	Appendix_Neoplasm	C4434
Tumor of Appendix	Appendix_Neoplasm	C4434
Tumor of the Appendix	Appendix_Neoplasm	C4434
Appendix_Neuroendocrine_Carcinoma	Appendix_Neuroendocrine_Carcinoma	C96425
Appendix Neuroendocrine Carcinoma	Appendix_Neuroendocrine_Carcinoma	C96425
Appendix High Grade Neuroendocrine Carcinoma	Appendix_Neuroendocrine_Carcinoma	C96425
Appendix NEC	Appendix_Neuroendocrine_Carcinoma	C96425
Appendix NEC G3	Appendix_Neuroendocrine_Carcinoma	C96425
Appendix Poorly Differentiated Endocrine Carcinoma	Appendix_Neuroendocrine_Carcinoma	C96425
Appendix_Neuroendocrine_Neoplasm	Appendix_Neuroendocrine_Neoplasm	C60709
Appendix Neuroendocrine Neoplasm	Appendix_Neuroendocrine_Neoplasm	C60709
Appendix_Neuroendocrine_Tumor	Appendix_Neuroendocrine_Tumor	C96422
Appendix Neuroendocrine Tumor	Appendix_Neuroendocrine_Tumor	C96422
Appendix NET	Appendix_Neuroendocrine_Tumor	C96422
Appendix Well Differentiated Endocrine Tumor	Appendix_Neuroendocrine_Tumor	C96422
Appendix Well Differentiated Endocrine Tumor/Carcinoma	Appendix_Neuroendocrine_Tumor	C96422
Appendix_Neuroendocrine_Tumor_G2	Appendix_Neuroendocrine_Tumor_G2	C96423
Appendix Neuroendocrine Tumor G2	Appendix_Neuroendocrine_Tumor_G2	C96423
Appendix NET G2	Appendix_Neuroendocrine_Tumor_G2	C96423
Appendix_Serrated_Adenoma	Appendix_Serrated_Adenoma	C43549
Appendix Traditional Serrated Adenoma	Appendix_Serrated_Adenoma	C43549
Appendix Serrated Adenoma	Appendix_Serrated_Adenoma	C43549
Appendix Serrated Adenoma Type II	Appendix_Serrated_Adenoma	C43549
Appendix TSA	Appendix_Serrated_Adenoma	C43549
Appendix_Serrated_Adenoma_Polyp	Appendix_Serrated_Adenoma_Polyp	C96415
Appendix Sessile Serrated Adenoma/Polyp	Appendix_Serrated_Adenoma_Polyp	C96415
Appendix SSA	Appendix_Serrated_Adenoma_Polyp	C96415
Appendix SSA/P	Appendix_Serrated_Adenoma_Polyp	C96415
Appendix SSP	Appendix_Serrated_Adenoma_Polyp	C96415
Appendix Sessile Serrated Adenoma	Appendix_Serrated_Adenoma_Polyp	C96415
Appendix Sessile Serrated Polyp	Appendix_Serrated_Adenoma_Polyp	C96415
Appendix_Signet_Ring_Cell_Carcinoma	Appendix_Signet_Ring_Cell_Carcinoma	C43554
Appendix Signet Ring Cell Carcinoma	Appendix_Signet_Ring_Cell_Carcinoma	C43554
Appendix_Small_Cell_Carcinoma	Appendix_Small_Cell_Carcinoma	C43555
Appendix Small Cell Neuroendocrine Carcinoma	Appendix_Small_Cell_Carcinoma	C43555
Appendix Small Cell Carcinoma	Appendix_Small_Cell_Carcinoma	C43555
Appendix_Tubular_Adenoma	Appendix_Tubular_Adenoma	C43546
Appendix Tubular Adenoma	Appendix_Tubular_Adenoma	C43546
Appendix_Tubular_Carcinoid	Appendix_Tubular_Carcinoid	C43565
Appendix Tubular Carcinoid	Appendix_Tubular_Carcinoid	C43565
Appendix Tubular Carcinoid Tumor	Appendix_Tubular_Carcinoid	C43565
Appendix_Tubulovillous_Adenoma	Appendix_Tubulovillous_Adenoma	C43547
Appendix Tubulovillous Adenoma	Appendix_Tubulovillous_Adenoma	C43547
Appendix_Undifferentiated_Carcinoma	Appendix_Undifferentiated_Carcinoma	C43556
Appendix Undifferentiated Carcinoma	Appendix_Undifferentiated_Carcinoma	C43556
Appendix_Villous_Adenoma	Appendix_Villous_Adenoma	C5512
Appendix Villous Adenoma	Appendix_Villous_Adenoma	C5512
Villous Adenoma of Appendix	Appendix_Villous_Adenoma	C5512
Villous Adenoma of the Appendix	Appendix_Villous_Adenoma	C5512
Aromatic_Dyes-Related_Malignant_Neoplasm	Aromatic_Dyes-Related_Malignant_Neoplasm	C27775
Aromatic Dyes-Related Malignant Neoplasm	Aromatic_Dyes-Related_Malignant_Neoplasm	C27775
Aromatic Dyes-Related Cancer	Aromatic_Dyes-Related_Malignant_Neoplasm	C27775
Asbestos-Related_Lung_Carcinoma	Asbestos-Related_Lung_Carcinoma	C27925
Asbestos-Related Lung Carcinoma	Asbestos-Related_Lung_Carcinoma	C27925
Asbestos-Related_Malignant_Mesothelioma	Asbestos-Related_Malignant_Mesothelioma	C27926
Asbestos-Related Malignant Mesothelioma	Asbestos-Related_Malignant_Mesothelioma	C27926
Asbestos-Related_Malignant_Neoplasm	Asbestos-Related_Malignant_Neoplasm	C27774
Asbestos-Related Malignant Neoplasm	Asbestos-Related_Malignant_Neoplasm	C27774
Asbestos-Related Cancer	Asbestos-Related_Malignant_Neoplasm	C27774
Ascending_Colon_Carcinoid_Tumor	Ascending_Colon_Carcinoid_Tumor	C6427
Ascending Colon Neuroendocrine Tumor G1	Ascending_Colon_Carcinoid_Tumor	C6427
Ascending Colon Carcinoid Tumor	Ascending_Colon_Carcinoid_Tumor	C6427
Ascending Colon NET G1	Ascending_Colon_Carcinoid_Tumor	C6427
Carcinoid Tumor of Ascending Colon	Ascending_Colon_Carcinoid_Tumor	C6427
Carcinoid Tumor of the Ascending Colon	Ascending_Colon_Carcinoid_Tumor	C6427
Askin_s_Tumor	Askin_s_Tumor	C7542
Askin Tumor	Askin_s_Tumor	C7542
Askin's Tumor	Askin_s_Tumor	C7542
PNET of Thoracopulmonary Region	Askin_s_Tumor	C7542
Peripheral Neuroectodermal Tumor of Thoracopulmonary Region	Askin_s_Tumor	C7542
Small Cell Tumor of Thoracopulmonary Region	Askin_s_Tumor	C7542
Astler-Coller_A_Colon_Carcinoma	Astler-Coller_A_Colon_Carcinoma	C36202
Astler-Coller A Colon Carcinoma	Astler-Coller_A_Colon_Carcinoma	C36202
Astler-Coller_A_Colorectal_Carcinoma	Astler-Coller_A_Colorectal_Carcinoma	C5927
Astler-Coller A Colorectal Carcinoma	Astler-Coller_A_Colorectal_Carcinoma	C5927
Astler-Coller_A_Rectal_Carcinoma	Astler-Coller_A_Rectal_Carcinoma	C5924
Astler-Coller A Rectal Carcinoma	Astler-Coller_A_Rectal_Carcinoma	C5924
Astler-Coller A Carcinoma of Rectum	Astler-Coller_A_Rectal_Carcinoma	C5924
Astler-Coller A Carcinoma of the Rectum	Astler-Coller_A_Rectal_Carcinoma	C5924
Astler-Coller_B1_Colon_Carcinoma	Astler-Coller_B1_Colon_Carcinoma	C35568
Astler-Coller B1 Colon Carcinoma	Astler-Coller_B1_Colon_Carcinoma	C35568
Astler-Coller_B1_Colorectal_Carcinoma	Astler-Coller_B1_Colorectal_Carcinoma	C36204
Astler-Coller B1 Colorectal Carcinoma	Astler-Coller_B1_Colorectal_Carcinoma	C36204
Astler-Coller_B1_Rectal_Carcinoma	Astler-Coller_B1_Rectal_Carcinoma	C36203
Astler-Coller B1 Rectal Carcinoma	Astler-Coller_B1_Rectal_Carcinoma	C36203
Astler-Coller_B2_Colon_Carcinoma	Astler-Coller_B2_Colon_Carcinoma	C35674
Astler-Coller B2 Colon Carcinoma	Astler-Coller_B2_Colon_Carcinoma	C35674
Astler-Coller_B2_Colorectal_Carcinoma	Astler-Coller_B2_Colorectal_Carcinoma	C36201
Astler-Coller B2 Colorectal Carcinoma	Astler-Coller_B2_Colorectal_Carcinoma	C36201
Astler-Coller_B2_Rectal_Carcinoma	Astler-Coller_B2_Rectal_Carcinoma	C36200
Astler-Coller B2 Rectal Carcinoma	Astler-Coller_B2_Rectal_Carcinoma	C36200
Astler-Coller_B3_Colon_Carcinoma	Astler-Coller_B3_Colon_Carcinoma	C5919
Astler-Coller B3 Colon Carcinoma	Astler-Coller_B3_Colon_Carcinoma	C5919
Astler-Coller B3 Carcinoma of Colon	Astler-Coller_B3_Colon_Carcinoma	C5919
Astler-Coller B3 Carcinoma of the Colon	Astler-Coller_B3_Colon_Carcinoma	C5919
Astler-Coller B3 Colonic Carcinoma	Astler-Coller_B3_Colon_Carcinoma	C5919
Astler-Coller_B3_Colorectal_Carcinoma	Astler-Coller_B3_Colorectal_Carcinoma	C5928
Astler-Coller B3 Colorectal Carcinoma	Astler-Coller_B3_Colorectal_Carcinoma	C5928
Astler-Coller_B3_Rectal_Carcinoma	Astler-Coller_B3_Rectal_Carcinoma	C5920
Astler-Coller B3 Rectal Carcinoma	Astler-Coller_B3_Rectal_Carcinoma	C5920
Astler-Coller B3 Carcinoma of Rectum	Astler-Coller_B3_Rectal_Carcinoma	C5920
Astler-Coller B3 Carcinoma of the Rectum	Astler-Coller_B3_Rectal_Carcinoma	C5920
Astler-Coller_C1_Colon_Carcinoma	Astler-Coller_C1_Colon_Carcinoma	C36199
Astler-Coller C1 Colon Carcinoma	Astler-Coller_C1_Colon_Carcinoma	C36199
Astler-Coller_C1_Colorectal_Carcinoma	Astler-Coller_C1_Colorectal_Carcinoma	C5931
Astler-Coller C1 Colorectal Carcinoma	Astler-Coller_C1_Colorectal_Carcinoma	C5931
Astler-Coller_C1_Rectal_Carcinoma	Astler-Coller_C1_Rectal_Carcinoma	C5922
Astler-Coller C1 Rectal Carcinoma	Astler-Coller_C1_Rectal_Carcinoma	C5922
Astler-Coller C1 Carcinoma of Rectum	Astler-Coller_C1_Rectal_Carcinoma	C5922
Astler-Coller C1 Carcinoma of the Rectum	Astler-Coller_C1_Rectal_Carcinoma	C5922
Astler-Coller_C2_Colon_Carcinoma	Astler-Coller_C2_Colon_Carcinoma	C36198
Astler-Coller C2 Colon Carcinoma	Astler-Coller_C2_Colon_Carcinoma	C36198
Astler-Coller_C2_Colorectal_Carcinoma	Astler-Coller_C2_Colorectal_Carcinoma	C5930
Astler-Coller C2 Colorectal Carcinoma	Astler-Coller_C2_Colorectal_Carcinoma	C5930
Astler-Coller_C2_Rectal_Carcinoma	Astler-Coller_C2_Rectal_Carcinoma	C5923
Astler-Coller C2 Rectal Carcinoma	Astler-Coller_C2_Rectal_Carcinoma	C5923
Astler-Coller C2 Carcinoma of Rectum	Astler-Coller_C2_Rectal_Carcinoma	C5923
Astler-Coller C2 Carcinoma of the Rectum	Astler-Coller_C2_Rectal_Carcinoma	C5923
Astler-Coller_C3_Colorectal_Carcinoma	Astler-Coller_C3_Colorectal_Carcinoma	C5929
Astler-Coller C3 Colorectal Carcinoma	Astler-Coller_C3_Colorectal_Carcinoma	C5929
Astler-Coller_C3_Rectal_Carcinoma	Astler-Coller_C3_Rectal_Carcinoma	C5921
Astler-Coller C3 Rectal Carcinoma	Astler-Coller_C3_Rectal_Carcinoma	C5921
Astler-Coller C3 Carcinoma of Rectum	Astler-Coller_C3_Rectal_Carcinoma	C5921
Astler-Coller C3 Carcinoma of the Rectum	Astler-Coller_C3_Rectal_Carcinoma	C5921
Astroblastoma	Astroblastoma	C4324
Astroblastoma	Astroblastoma	C4324
Astrocytic_Tumor	Astrocytic_Tumor	C6958
Astrocytic Tumor	Astrocytic_Tumor	C6958
Astrocytic Neoplasm	Astrocytic_Tumor	C6958
Astroglioma	Astrocytic_Tumor	C6958
Astrocytoma	Astrocytoma	C60781
Astrocytoma	Astrocytoma	C60781
ASTROCYTOMA, UNDETERMINED	Astrocytoma	C60781
astrocytoma	Astrocytoma	C60781
Asynchronous_Multifocal_Osteosarcoma	Asynchronous_Multifocal_Osteosarcoma	C6472
Asynchronous Multifocal Osteosarcoma	Asynchronous_Multifocal_Osteosarcoma	C6472
Asynchronous Multifocal Osteogenic Sarcoma	Asynchronous_Multifocal_Osteosarcoma	C6472
Atrial_Myxoma	Atrial_Myxoma	C3499
Atrial Myxoma	Atrial_Myxoma	C3499
Myxoma of Atrium	Atrial_Myxoma	C3499
Myxoma of the Atrium	Atrial_Myxoma	C3499
Atrial_Paraganglioma	Atrial_Paraganglioma	C5390
Atrial Paraganglioma	Atrial_Paraganglioma	C5390
Paraganglioma of Atrium	Atrial_Paraganglioma	C5390
Paraganglioma of Atrium of Heart	Atrial_Paraganglioma	C5390
Paraganglioma of Cardiac Atrium	Atrial_Paraganglioma	C5390
Paraganglioma of the Atrium	Atrial_Paraganglioma	C5390
Paraganglioma of the Atrium of the Heart	Atrial_Paraganglioma	C5390
Paraganglioma of the Cardiac Atrium	Atrial_Paraganglioma	C5390
Atypical_Adenoma	Atypical_Adenoma	C7559
Atypical Adenoma	Atypical_Adenoma	C7559
Atypical_Adenomatous_Lung_Hyperplasia	Atypical_Adenomatous_Lung_Hyperplasia	C5665
Atypical Adenomatous Lung Hyperplasia	Atypical_Adenomatous_Lung_Hyperplasia	C5665
Atypical Adenomatous Hyperplasia of Lung	Atypical_Adenomatous_Lung_Hyperplasia	C5665
Atypical Adenomatous Hyperplasia of the Lung	Atypical_Adenomatous_Lung_Hyperplasia	C5665
Atypical Alveolar Hyperplasia	Atypical_Adenomatous_Lung_Hyperplasia	C5665
Bronchioloalveolar Cell Adenoma	Atypical_Adenomatous_Lung_Hyperplasia	C5665
Atypical_Breast_Papilloma	Atypical_Breast_Papilloma	C36089
Atypical Breast Papilloma	Atypical_Breast_Papilloma	C36089
Atypical_Burkitt_s_Burkitt_s-Like_Lymphoma	Atypical_Burkitt_s_Burkitt_s-Like_Lymphoma	C6917
Atypical Burkitt/Burkitt-Like Lymphoma	Atypical_Burkitt_s_Burkitt_s-Like_Lymphoma	C6917
Atypical Burkitt's/Burkitt's-Like Lymphoma	Atypical_Burkitt_s_Burkitt_s-Like_Lymphoma	C6917
Burkitt's-like Lymphoma	Atypical_Burkitt_s_Burkitt_s-Like_Lymphoma	C6917
Burkitt-like Lymphoma	Atypical_Burkitt_s_Burkitt_s-Like_Lymphoma	C6917
Atypical_Carcinoid_Tumor	Atypical_Carcinoid_Tumor	C72074
Atypical Carcinoid Tumor	Atypical_Carcinoid_Tumor	C72074
CARCINOID TUMOR, MALIGNANT	Atypical_Carcinoid_Tumor	C72074
Malignant Carcinoid Tumor	Atypical_Carcinoid_Tumor	C72074
Atypical_Choroid_Plexus_Papilloma	Atypical_Choroid_Plexus_Papilloma	C53686
Atypical Choroid Plexus Papilloma	Atypical_Choroid_Plexus_Papilloma	C53686
Atypical_Chronic_Myeloid_Leukemia	Atypical_Chronic_Myeloid_Leukemia	C3519
Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative	Atypical_Chronic_Myeloid_Leukemia	C3519
Atypical CML	Atypical_Chronic_Myeloid_Leukemia	C3519
Atypical Chronic Myeloid Leukemia	Atypical_Chronic_Myeloid_Leukemia	C3519
Subacute Granulocytic Leukemia	Atypical_Chronic_Myeloid_Leukemia	C3519
Subacute Myelogenous Leukemia	Atypical_Chronic_Myeloid_Leukemia	C3519
Subacute Myeloid Leukemia	Atypical_Chronic_Myeloid_Leukemia	C3519
aCML	Atypical_Chronic_Myeloid_Leukemia	C3519
Atypical_Ductal_Breast_Hyperplasia	Atypical_Ductal_Breast_Hyperplasia	C8436
Atypical Ductal Breast Hyperplasia	Atypical_Ductal_Breast_Hyperplasia	C8436
ADH	Atypical_Ductal_Breast_Hyperplasia	C8436
Atypical Breast Ductal Hyperplasia	Atypical_Ductal_Breast_Hyperplasia	C8436
Atypical Ductal Hyperplasia of Breast	Atypical_Ductal_Breast_Hyperplasia	C8436
Atypical Ductal Hyperplasia of the Breast	Atypical_Ductal_Breast_Hyperplasia	C8436
DIN 1B	Atypical_Ductal_Breast_Hyperplasia	C8436
Ductal Intraepithelial Neoplasia, Grade 1B	Atypical_Ductal_Breast_Hyperplasia	C8436
atypical ductal breast hyperplasia	Atypical_Ductal_Breast_Hyperplasia	C8436
atypical ductal hyperplasia	Atypical_Ductal_Breast_Hyperplasia	C8436
Atypical_Endometrial_Hyperplasia	Atypical_Endometrial_Hyperplasia	C4654
Atypical Endometrial Hyperplasia	Atypical_Endometrial_Hyperplasia	C4654
Atypical Hyperplasia of Endometrium	Atypical_Endometrial_Hyperplasia	C4654
Atypical Hyperplasia of the Endometrium	Atypical_Endometrial_Hyperplasia	C4654
Endometrial Hyperplasia with Atypia	Atypical_Endometrial_Hyperplasia	C4654
Atypical_Fibroxanthoma	Atypical_Fibroxanthoma	C4246
Atypical Fibroxanthoma	Atypical_Fibroxanthoma	C4246
Atypical Cutaneous Fibroxanthoma	Atypical_Fibroxanthoma	C4246
Atypical Fibrous Histiocytoma	Atypical_Fibroxanthoma	C4246
Atypical Fibroxanthoma of Skin	Atypical_Fibroxanthoma	C4246
Atypical Fibroxanthoma of the Skin	Atypical_Fibroxanthoma	C4246
Atypical Skin Fibroxanthoma	Atypical_Fibroxanthoma	C4246
Superficial Malignant Fibrous Histiocytoma	Atypical_Fibroxanthoma	C4246
Atypical_Follicular_Adenoma	Atypical_Follicular_Adenoma	C27729
Thyroid Gland Atypical Follicular Adenoma	Atypical_Follicular_Adenoma	C27729
Atypical Follicular Adenoma	Atypical_Follicular_Adenoma	C27729
Atypical_Glandular_Hyperplasia	Atypical_Glandular_Hyperplasia	C8356
Atypical Glandular Hyperplasia	Atypical_Glandular_Hyperplasia	C8356
Atypical_Hyperplasia	Atypical_Hyperplasia	C8355
Atypical Hyperplasia	Atypical_Hyperplasia	C8355
atypical hyperplasia	Atypical_Hyperplasia	C8355
Atypical_Hyperplasia_of_the_Breast	Atypical_Hyperplasia_of_the_Breast	C5195
Atypical Hyperplasia of the Breast	Atypical_Hyperplasia_of_the_Breast	C5195
Atypical Breast Hyperplasia	Atypical_Hyperplasia_of_the_Breast	C5195
Atypical Hyperplasia of Breast	Atypical_Hyperplasia_of_the_Breast	C5195
Atypical_Lipoma	Atypical_Lipoma	C6505
